#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     TITLE                           ACE> Magnetometer Parameters
#     PROJECT                         ISTP>International Solar-Terrestrial Physics
#     DISCIPLINE                      Space Physics>Interplanetary Studies
#     SOURCE_NAME                     AC>Advanced Composition Explorer
#     DATA_TYPE                       H1>4-Min Level 2 Data
#     DESCRIPTOR                      MAG>ACE Magnetic Field Instrument
#     DATA_VERSION                    n
#     GENERATED_BY                    ACE Science Center
#     GENERATION_DATE                 88880131
#     LINK_TEXT                       Release notes and other info available at
#     LINK_TITLE                      the ACE Science Center Level 2 Data website
#     HTTP_LINK                       http://www.srl.caltech.edu/ACE/ASC/level2/index.html
#     TEXT                            MAG - ACE Magnetic Field Experiment
#                                     References: http://www.srl.caltech.edu/ACE/
#                                     The quality of ACE level 2 data is such that it is suitable for serious
#                                     scientific study.  However, to avoid confusion and misunderstanding, it
#                                     is recommended that users consult with the appropriate ACE team members
#                                     before publishing work derived from the data. The ACE team has worked
#                                     hard to ensure that the level 2 data are free from errors, but the team
#                                     cannot accept responsibility for erroneous data, or for misunderstandings
#                                     about how the data may be used. This is especially true if the appropriate
#                                     ACE team members are not consulted before publication. At the very
#                                     least, preprints should be forwarded to the ACE team before publication.
#     MODS                            Initial Release 9/6/01
#                                     12/04/02: Fixed description of Epoch time variable.
#     ADID_REF                        NSSD0327
#     LOGICAL_FILE_ID                 AC_H1_MFI_00000000_V01
#     LOGICAL_SOURCE                  AC_H1_MFI
#     LOGICAL_SOURCE_DESCRIPTION      H1 - ACE Magnetic Field 4-Minute Level 2 Data
#     PI_NAME                         N. Ness
#     PI_AFFILIATION                  Bartol Research Institute
#     MISSION_GROUP                   ACE
#                                     !___Interplanetary Data near 1 AU
#     INSTRUMENT_TYPE                 Magnetic Fields (space)
#     TIME_RESOLUTION                 4 minutes
#     WEB_SITE                        http://www.srl.caltech.edu/ACE/
#     ACKNOWLEDGEMENT                 Please acknowledge the Principal
#                                     Investigator, N. Ness of Bartol Research
#                                     Institute
#     RULES_OF_USE                    See the rules of use available from the ACE
#                                     Science Center at:
#                                     http://www.srl.caltech.edu/ACE/ASC/level2/policy_lvl2.html
#     ALT_LOGICAL_SOURCE              ACE_MAG_Solar-Wind-Magnetic-Field-Level2-H1_4min_cdf
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Time, beginning of interval
#  2. Magnetic field vector in GSM coordinates (4 min)
#
EPOCH                                 BX_(GSM)               BY_(GSM)               BZ_(GSM)
dd-mm-yyyy hh:mm:ss.ms                      nT                     nT                     nT
05-10-2015 00:00:00.000               -6.53100                2.95700                3.79900
05-10-2015 00:04:00.000               -6.73800                2.75300                3.48900
05-10-2015 00:08:00.000               -6.70000                2.28300                3.94900
05-10-2015 00:12:00.000               -6.61700                2.65500                3.78600
05-10-2015 00:16:00.000               -6.41800                3.08300                3.43400
05-10-2015 00:20:00.000               -6.98800                2.56600                2.71400
05-10-2015 00:24:00.000               -7.03600                2.36700                2.90100
05-10-2015 00:28:00.000               -7.02600                3.16700                2.28700
05-10-2015 00:32:00.000               -6.86500                3.27800                2.62000
05-10-2015 00:36:00.000               -6.82700                3.25700                3.05400
05-10-2015 00:40:00.000               -6.80500                3.53200                2.89900
05-10-2015 00:44:00.000               -6.97400                3.66800                2.40000
05-10-2015 00:48:00.000               -7.15300                3.28300                2.48500
05-10-2015 00:52:00.000               -7.15400                3.40900                2.04200
05-10-2015 00:56:00.000               -6.91800                3.82100                2.07300
05-10-2015 01:00:00.000               -6.48700                4.36400                1.96700
05-10-2015 01:04:00.000               -5.69800                5.40000                2.38600
05-10-2015 01:08:00.000               -5.82400                5.12900                2.45600
05-10-2015 01:12:00.000               -6.03400                4.65300                2.91500
05-10-2015 01:16:00.000               -4.81500                6.15200               0.897000
05-10-2015 01:20:00.000               -4.34200                6.88000              -0.132000
05-10-2015 01:24:00.000               -4.44900                7.00500              0.0140000
05-10-2015 01:28:00.000               -4.60500                7.09400              -0.132000
05-10-2015 01:32:00.000               -5.89700                6.00500               -1.05600
05-10-2015 01:36:00.000               -4.49000                5.66300                1.12400
05-10-2015 01:40:00.000               -2.16200                7.24700                2.26500
05-10-2015 01:44:00.000               -3.88200                6.77600                3.01500
05-10-2015 01:48:00.000               -4.28600                7.23000              -0.988000
05-10-2015 01:52:00.000               -4.47100                7.08600              -0.988000
05-10-2015 01:56:00.000               -4.99100                6.88900              -0.532000
05-10-2015 02:00:00.000               -3.33300                7.77200              0.0130000
05-10-2015 02:04:00.000               -4.96600                6.94000               0.516000
05-10-2015 02:08:00.000               -6.60400                3.75700                2.08900
05-10-2015 02:12:00.000               -6.87500                3.46300              -0.554000
05-10-2015 02:16:00.000               -6.51700                3.15500                3.69400
05-10-2015 02:20:00.000               -6.14400                4.09900                3.67500
05-10-2015 02:24:00.000               -6.48500                4.60300                2.68800
05-10-2015 02:28:00.000               -6.91500                4.92200              -0.478000
05-10-2015 02:32:00.000               -6.54600                5.61300               0.315000
05-10-2015 02:36:00.000               -6.51200                5.33700               -1.30100
