#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                         NSSDC
#     DISCIPLINE                      Space Physics>Interplanetary Studies
#     SOURCE_NAME                     OMNI (1AU IP Data)>Merged 5 minute Interplantary OMNI data
#     DATA_TYPE                       HRO>Definitive 5minute
#     DESCRIPTOR                      IMF, Plasma, Indices, Energetic Proton Flux
#     DATA_VERSION                    1
#     TITLE                           Near-Earth Heliosphere Data (OMNI)
#     TEXT                            5minute averaged definitive multispacecraft interplanetary parameters data
#                                     Additional information for all parameters are available from OMNI Data Documentation:                  
#                                      https://omniweb.gsfc.nasa.gov/html/HROdocum.html                                                      
#                                     Additional data access options available at  SPDF's OMNIWeb Service: https://omniweb.gsfc.nasa.gov/ow_m
#                                     Recent omni high resolution updates Release Notes: https://omniweb.gsfc.nasa.gov/html/hro_news.html    
#     MODS                            created November 2006;
#                                     conversion to ISTP/IACG CDFs via SKTEditor Feb 2000
#                                     Time tags in CDAWeb version were modified in March 2005 to use the
#                                     CDAWeb convention of having mid-average time tags rather than OMNI's
#                                     original convention of start-of-average time tags.
#     LOGICAL_FILE_ID                 omni_hro_5min_00000000_v01
#     PI_NAME                         J.H. King, N. Papatashvilli
#     PI_AFFILIATION                  AdnetSystems, NASA GSFC
#     GENERATION_DATE                 Ongoing
#     ACKNOWLEDGEMENT                 NSSDC
#     ADID_REF                        NSSD0110
#     RULES_OF_USE                    Public
#     INSTRUMENT_TYPE                 Plasma and Solar Wind
#                                     Magnetic Fields (space)
#                                     Electric Fields (space)
#     GENERATED_BY                    King/Papatashvilli
#     TIME_RESOLUTION                 5 minute
#     LOGICAL_SOURCE                  omni_hro_5min
#     LOGICAL_SOURCE_DESCRIPTION      OMNI Combined, Definitive, 5-minute IMF and Plasma, and Energetic Proton Fluxes,                       
#                                      Time-Shifted to the Nose  of the Earth's Bow Shock, plus Magnetic Indices                             
#     LINK_TEXT                       Additional information for all parameters are available from
#                                     Additional data access options available at
#                                     Recent omni high resolution updates
#     LINK_TITLE                      OMNI Data documentation
#                                     SPDF's OMNIWeb Service
#                                     Release Notes
#     HTTP_LINK                       https://omniweb.gsfc.nasa.gov/html/HROdocum.html
#                                     https://omniweb.gsfc.nasa.gov/ow_min.html
#                                     https://omniweb.gsfc.nasa.gov/html/hro_news.html
#     ALT_LOGICAL_SOURCE              Combined_OMNI_1AU-MagneticField-Plasma-HRO_5min_cdf
#     MISSION_GROUP                   OMNI (Combined 1AU IP Data; Magnetic and Solar Indices)
#                                     ACE
#                                     Wind
#                                     IMP (All)
#                                     !___Interplanetary Data near 1 AU
#     SPASE_DATASETRESOURCEID         spase://VMO/NumericalData/OMNI/PT5M
#     CDFMAJOR                        ROW_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Epoch Time
#  2. Bz (nT), GSM, determined from post-shift GSE components
#  3. Vx Velocity (km/s), GSE
#  4. Temperature (K)
#  5. Electric Field (mV/m)
#       NOTES:  Derived parameters are obtained from the following equations. Electric field = -V(km/s) * Bz (nT; GSM) * 10**-3
#  6. Plasma beta
#       NOTES:  Derived parameters are obtained from the following equations. Plasma beta = [(T*4.16/10**5) + 5.34] * Np / B**2 (B in nT)
#  7. Bow Shock Nose (Re) location, X, GSE
#  8. SYM/H - 5-minute SYM/H index,from WDC Kyoto (1981/001-2017/059)
#
EPOCH_TIME                    BZ,_GSM VX_VELOCITY,_GSE   TEMPERATURE ELECTRIC_FIELD   PLASMA_BETA  X_(BSN),_GSE SYM/H_INDEX
dd-mm-yyyy hh:mm:ss.ms             nT             km/s             K           mV/m                          Re          nT
05-10-2015 00:00:00.000      -1.24000         -445.900       78875.0       0.560000      0.720000       13.2900         -40
05-10-2015 00:05:00.000      -1.31000         -453.100       90891.0       0.590000      0.740000       13.3300         -40
05-10-2015 00:10:00.000      -1.38000         -448.100       76893.0       0.620000      0.760000       13.3700         -39
05-10-2015 00:15:00.000      -2.05000         -451.500       91058.0       0.920000      0.960000       13.0500         -39
05-10-2015 00:20:00.000      -2.73000         -457.800       114252.        1.25000       1.14000       12.9200         -39
05-10-2015 00:25:00.000       1.29000         -447.000       107519.      -0.570000      0.900000       13.4100         -37
05-10-2015 00:30:00.000       2.06000         -433.300       83101.0      -0.890000      0.820000       13.4000         -36
05-10-2015 00:35:00.000       3.16000         -443.500       82821.0       -1.46000      0.650000       13.5800         -35
05-10-2015 00:40:00.000       3.22000         -443.800       63398.0       -1.43000      0.530000       13.5500         -35
05-10-2015 00:45:00.000       2.79000         -445.900       67381.0       -1.47000      0.590000       13.4300         -34
05-10-2015 00:50:00.000       2.38000         -444.900       75493.0       -1.17000      0.590000       13.4800         -33
05-10-2015 00:55:00.000       2.86000         -443.600       73533.0       -1.30000      0.580000       13.5400         -31
05-10-2015 01:00:00.000       3.18000         -446.700       78509.0       -1.42000      0.630000       13.6000         -29
05-10-2015 01:05:00.000       3.14000         -442.500       71174.0       -1.40000      0.570000       13.7100         -27
05-10-2015 01:10:00.000       3.25000         -447.300       68960.0       -1.46000      0.530000       13.8300         -26
05-10-2015 01:15:00.000       3.63000         -439.200       46587.0       -1.60000      0.370000       13.9900         -25
05-10-2015 01:20:00.000       3.60000         -442.800       70241.0       -1.60000      0.560000       13.5400         -24
05-10-2015 01:25:00.000       2.99000         -437.300       69691.0       -1.24000      0.560000       13.5200         -23
05-10-2015 01:30:00.000       2.89000         -438.900       62234.0       -1.31000      0.520000       13.5800         -23
05-10-2015 01:35:00.000       2.87000         -444.300       55430.0       -1.28000      0.450000       13.7300         -21
05-10-2015 01:40:00.000       3.07000         -442.000       59778.0       -1.36000      0.450000       13.8600         -20
05-10-2015 01:45:00.000       3.41000         -442.200       56334.0       -1.51000      0.410000       13.9500         -18
05-10-2015 01:50:00.000       3.55000         -444.500       72108.0       -1.61000      0.490000       13.7800         -16
05-10-2015 01:55:00.000       1.75000         -445.500       66985.0      -0.780000      0.500000       13.6600         -15
05-10-2015 02:00:00.000      -1.57000         -449.100       74934.0       0.710000      0.640000       13.1900         -13
05-10-2015 02:05:00.000      0.530000         -438.600       58358.0      -0.230000      0.410000       14.0600         -12
05-10-2015 02:10:00.000     -0.520000         -433.900       48827.0       0.230000      0.430000       13.8100         -12
05-10-2015 02:15:00.000     -0.610000         -438.300       63197.0      0.0100000      0.500000       13.7300         -11
05-10-2015 02:20:00.000      -1.96000         -437.800       51479.0       0.820000      0.420000       13.4700         -10
05-10-2015 02:25:00.000      -1.40000         -439.700       76088.0       0.620000      0.570000       13.1700         -10
05-10-2015 02:30:00.000     -0.110000         -444.400       104800.     -0.0200000      0.690000       13.1500         -10
05-10-2015 02:35:00.000      0.380000         -439.100       77635.0      -0.170000      0.660000       13.1600         -11
05-10-2015 02:40:00.000       1.07000         -437.700       95931.0      -0.530000      0.680000       13.0500         -11
05-10-2015 02:45:00.000     0.0300000         -437.100       114091.      0.0500000      0.780000       13.1000         -13
05-10-2015 02:50:00.000      0.250000         -446.300       84217.0      -0.180000      0.630000       13.2900         -14
05-10-2015 02:55:00.000      0.800000         -431.200       80940.0      -0.340000      0.590000       13.4200         -16
05-10-2015 03:00:00.000      0.170000         -433.100       117000.     -0.0800000      0.780000       13.2500         -17
05-10-2015 03:05:00.000      0.780000         -436.100       115431.      -0.290000      0.800000       13.2100         -17
05-10-2015 03:10:00.000      0.640000         -432.500       105926.      -0.280000      0.800000       13.1900         -17
05-10-2015 03:15:00.000      -1.87000         -430.600       119283.       0.590000      0.790000       12.9000         -17
05-10-2015 03:20:00.000      -2.41000         -430.800       114836.        1.00000      0.840000       12.8500         -16
05-10-2015 03:25:00.000      -2.74000         -434.600       81487.0        1.15000      0.570000       13.0200         -16
05-10-2015 03:30:00.000      -1.27000         -429.000       80064.0       0.550000      0.650000       13.2500         -16
05-10-2015 03:35:00.000     -0.260000         -427.800       87362.0        999.990       999.990       13.3900         -16
05-10-2015 03:40:00.000      -1.85000         -434.900       72766.0        1.04000      0.560000       13.1700         -16
05-10-2015 03:45:00.000      -1.35000         -436.500       72886.0       0.600000      0.630000       13.1200         -15
05-10-2015 03:50:00.000      -2.14000         -433.100       42738.0       0.430000      0.470000       13.3600         -15
05-10-2015 03:55:00.000      -2.97000         -447.600       69010.0        1.04000      0.580000       13.1800         -16
05-10-2015 04:00:00.000      -2.39000         -439.700       78934.0        1.05000      0.580000       13.1800         -17
05-10-2015 04:05:00.000      -2.18000         -441.000       82505.0       0.960000      0.580000       13.2400         -17
05-10-2015 04:10:00.000      -2.76000         -449.600       93782.0        1.68000      0.620000       13.2200         -17
05-10-2015 04:15:00.000       1.57000         -438.400       79672.0      -0.690000      0.580000       13.7900         -16
05-10-2015 04:20:00.000       2.17000         -444.900       111874.      -0.980000      0.720000       13.6000         -16
05-10-2015 04:25:00.000       2.14000         -448.200       97333.0      -0.180000      0.680000       13.5000         -17
05-10-2015 04:30:00.000       2.88000         -443.100       101688.       -1.28000      0.760000       13.4900         -17
05-10-2015 04:35:00.000       1.51000         -435.400       91438.0      -0.630000      0.680000       13.7100         -16
05-10-2015 04:40:00.000       1.90000         -466.600       116543.       -1.28000      0.810000       13.5700         -16
05-10-2015 04:45:00.000      0.370000         -455.500       123031.      -0.220000      0.900000       13.2300         -16
05-10-2015 04:50:00.000      -1.21000         -449.500       90309.0       0.430000      0.760000       13.4800         -15
05-10-2015 04:55:00.000      -3.16000         -448.000       82091.0        1.52000      0.790000       13.0100         -15
05-10-2015 05:00:00.000      -6.27000         -471.600       89334.0        2.97000      0.870000       12.1600         -14
05-10-2015 05:05:00.000      -6.99000         -479.700       100019.        3.37000      0.990000       11.7600         -11
05-10-2015 05:10:00.000      -6.90000          99999.9   1.00000E+07        999.990       999.990       11.8000         -11
05-10-2015 05:15:00.000      -6.48000         -511.600       68058.0        3.22000      0.690000       11.7100         -12
05-10-2015 05:20:00.000      -6.40000         -500.200       106575.        3.22000       1.01000       11.5700         -14
05-10-2015 05:25:00.000      -6.20000         -479.100       86378.0        2.92000      0.910000       11.8400         -15
05-10-2015 05:30:00.000      -5.72000         -468.400       87209.0        2.69000      0.860000       12.2000         -18
05-10-2015 05:35:00.000      -6.04000         -479.600       68394.0        2.91000      0.800000       12.1700         -21
05-10-2015 05:40:00.000      -6.74000         -483.600       69762.0        3.28000      0.770000       11.7800         -23
05-10-2015 05:45:00.000      -7.64000         -485.200       68404.0        3.73000      0.690000       11.7000         -24
05-10-2015 05:50:00.000      -6.24000         -481.400       137139.        3.10000       1.72000       11.4200         -26
05-10-2015 05:55:00.000      -5.18000         -479.500       142416.        2.49000       2.39000       11.5700         -27
